id,sccsn,Domain,TL1
93,93,5,3
93,93,6,4
94,94,1,3.75
94,94,2,2.625
94,94,3,3.75
94,94,4,3.25
94,94,5,3
94,94,6,3
95,95,1, 
95,95,2, 
95,95,3, 
95,95,4, 
95,95,5, 
95,95,6, 
96,96,1,3.875
96,96,2,2.75
96,96,3,3.75
96,96,4,3.5
96,96,5,3.875
96,96,6,4
97,97,1, 
97,97,2, 
97,97,3, 
97,97,4, 
97,97,5, 
97,97,6, 
98,98,1,2.25
98,98,2,2.125
98,98,3,2.75
98,98,4,2.875
98,98,5,2
98,98,6,4
99,99,1,3.25
99,99,2,1.25
99,99,3,3.25
99,99,4,3
99,99,5,2.75
99,99,6,3.75
100,100,1,3
100,100,2,2.75
100,100,3,3
100,100,4,2.25
100,100,5,2.75
100,100,6,2.25
101,101,1, 
101,101,2, 
101,101,3, 
101,101,4, 
101,101,5, 
101,101,6, 
102,102,1,4
102,102,2,3.25
102,102,3,3.75
102,102,4,4
102,102,5,3.75
102,102,6,3.75
103,103,1, 
103,103,2, 
103,103,3, 
103,103,4, 
103,103,5, 
103,103,6, 
104,104,1, 
104,104,2, 
104,104,3, 
104,104,4, 
104,104,5, 
104,104,6, 
105,105,1, 
105,105,2, 
105,105,3, 
105,105,4, 
105,105,5, 
105,105,6, 
106,106,1,4
106,106,2, 
106,106,3, 
106,106,4,3.875
106,106,5,3.375
106,106,6,3.5
107,107,1, 
107,107,2, 
107,107,3, 
107,107,4, 
107,107,5, 
107,107,6, 
108,108,1,3.75
108,108,2,2.75
108,108,3,3.25
108,108,4,1.75
108,108,5,2.75
108,108,6,2.75
109,109,1,3.125
109,109,2,3
109,109,3,4
109,109,4,3.125
109,109,5,2.5
109,109,6,3
110,110,1,3.75
110,110,2, 
110,110,3,3
110,110,4,1.75
110,110,5,2.75
110,110,6,2.75
111,111,1, 
111,111,2, 
111,111,3, 
111,111,4, 
111,111,5, 
111,111,6, 
112,112,1,2.25
112,112,2, 
112,112,3,1.5
112,112,4,1.125
112,112,5,2.5
112,112,6,3.5
113,113,1, 
113,113,2, 
113,113,3, 
113,113,4, 
113,113,5, 
113,113,6, 
114,114,1, 
114,114,2, 
114,114,3, 
114,114,4, 
114,114,5, 
114,114,6, 
115,115,1, 
115,115,2, 
115,115,3, 
115,115,4, 
115,115,5, 
115,115,6, 
116,116,1,3.875
116,116,2,3.5
116,116,3,4
116,116,4,3.75
116,116,5,3
116,116,6,3.875
117,117,1,3.75
117,117,2,3.75
117,117,3,3.75
117,117,4,3.75
117,117,5,3.25
117,117,6,4
118,118,1,2.75
118,118,2, 
118,118,3,2.75
118,118,4,1.25
118,118,5, 
118,118,6,2.75
119,119,1,3.875
119,119,2,3
119,119,3,2.25
119,119,4,3.125
119,119,5,2.25
119,119,6,3.5
120,120,1, 
120,120,2, 
120,120,3, 
120,120,4, 
120,120,5, 
120,120,6, 
121,121,1,1
121,121,2,1.25
121,121,3,2.25
121,121,4,1
121,121,5,1
121,121,6,2.75
122,122,1, 
122,122,2, 
122,122,3, 
122,122,4, 
122,122,5, 
122,122,6, 
123,123,1, 
123,123,2, 
123,123,3, 
123,123,4, 
123,123,5, 
123,123,6, 
124,124,1,1.25
124,124,2,1.125
124,124,3,1
124,124,4,1.25
124,124,5, 
124,124,6,2
125,125,1, 
125,125,2, 
125,125,3, 
125,125,4, 
125,125,5, 
125,125,6, 
126,126,1, 
126,126,2, 
126,126,3, 
126,126,4, 
126,126,5, 
126,126,6, 
127,127,1, 
127,127,2, 
127,127,3, 
127,127,4, 
127,127,5, 
127,127,6, 
128,128,1, 
128,128,2, 
128,128,3, 
128,128,4, 
128,128,5, 
128,128,6, 
129,129,1, 
129,129,2, 
129,129,3, 
129,129,4, 
129,129,5, 
129,129,6, 
130,130,1,2.75
130,130,2, 
130,130,3,2.75
130,130,4,3.25
130,130,5,3.25
130,130,6,4
131,131,1, 
131,131,2, 
131,131,3, 
131,131,4, 
131,131,5, 
131,131,6, 
132,132,1,3.75
132,132,2,3.875
132,132,3,2.75
132,132,4,2.25
132,132,5,3
132,132,6,4
133,133,1, 
133,133,2, 
133,133,3, 
133,133,4, 
133,133,5, 
133,133,6, 
134,134,1, 
134,134,2, 
134,134,3, 
134,134,4, 
134,134,5, 
134,134,6, 
135,135,1, 
135,135,2, 
135,135,3, 
135,135,4, 
135,135,5, 
135,135,6, 
136,136,1, 
136,136,2, 
136,136,3, 
136,136,4, 
136,136,5, 
136,136,6, 
137,137,1, 
137,137,2, 
137,137,3, 
137,137,4, 
137,137,5, 
137,137,6, 
138,138,1,2.125
138,138,2,2.75
138,138,3,1.5
138,138,4,2
138,138,5,3
138,138,6,3.625
139,139,1, 
139,139,2, 
139,139,3, 
139,139,4, 
139,139,5, 
139,139,6, 
140,140,1, 
140,140,2, 
140,140,3, 
140,140,4, 
140,140,5, 
140,140,6, 
141,141,1,2
141,141,2, 
141,141,3,1.75
141,141,4,1.25
141,141,5, 
141,141,6, 
142,142,1,2.75
142,142,2,2.25
142,142,3,2.25
142,142,4,2.25
142,142,5,3
142,142,6, 
143,143,1, 
143,143,2, 
143,143,3, 
143,143,4, 
143,143,5, 
143,143,6, 
144,144,1,2.25
144,144,2,1.25
144,144,3,2
144,144,4,2.25
144,144,5,1
144,144,6,3.75
145,145,1, 
145,145,2, 
145,145,3, 
145,145,4, 
145,145,5, 
145,145,6, 
146,146,1, 
146,146,2, 
146,146,3, 
146,146,4, 
146,146,5, 
146,146,6, 
147,147,1, 
147,147,2, 
147,147,3, 
147,147,4, 
147,147,5, 
147,147,6, 
148,148,1, 
148,148,2, 
148,148,3, 
148,148,4, 
148,148,5, 
148,148,6, 
149,149,1, 
149,149,2, 
149,149,3, 
149,149,4, 
149,149,5, 
149,149,6, 
150,150,1,1.625
150,150,2,2
150,150,3,3.125
150,150,4,2
150,150,5,2.75
150,150,6,2.125
151,151,1,3.5
151,151,2,2
151,151,3,2
151,151,4,2.5
151,151,5,2.125
151,151,6,2.875
152,152,1, 
152,152,2, 
152,152,3, 
152,152,4, 
152,152,5, 
152,152,6, 
153,153,1, 
153,153,2, 
153,153,3, 
153,153,4, 
153,153,5, 
153,153,6, 
154,154,1,3.25
154,154,2, 
154,154,3,3
154,154,4,3
154,154,5,3.75
154,154,6,4
155,155,1, 
155,155,2, 
155,155,3, 
155,155,4, 
155,155,5, 
155,155,6, 
156,156,1,3.25
156,156,2,1.25
156,156,3,3
156,156,4,3
156,156,5, 
156,156,6,3.25
157,157,1, 
157,157,2, 
157,157,3, 
157,157,4, 
157,157,5, 
157,157,6, 
158,158,1, 
158,158,2, 
158,158,3, 
158,158,4, 
158,158,5, 
158,158,6, 
159,159,1,3.75
159,159,2,3.25
159,159,3,3.75
159,159,4, 
159,159,5, 
159,159,6, 
160,160,1,3.875
160,160,2,3.875
160,160,3,3
160,160,4,3
160,160,5,2.25
160,160,6,4
161,161,1, 
161,161,2, 
161,161,3, 
161,161,4, 
161,161,5, 
161,161,6, 
162,162,1,2.125
162,162,2,1
162,162,3,2
162,162,4,2.875
162,162,5,2
162,162,6,2.5
163,163,1, 
163,163,2, 
163,163,3, 
163,163,4, 
163,163,5, 
163,163,6, 
164,164,1,2.5
164,164,2,2.125
164,164,3,2.625
164,164,4,2.875
164,164,5,2.5
164,164,6,3
165,165,1,4
165,165,2,2.75
165,165,3,3
165,165,4,3
165,165,5,3
165,165,6,4
166,166,1, 
166,166,2, 
166,166,3, 
166,166,4, 
166,166,5, 
166,166,6, 
167,167,1, 
167,167,2, 
167,167,3, 
167,167,4, 
167,167,5, 
167,167,6, 
168,168,1,3.375
168,168,2, 
168,168,3,2.625
168,168,4,3.375
168,168,5,3.125
168,168,6,3
169,169,1, 
169,169,2, 
169,169,3, 
169,169,4, 
169,169,5, 
169,169,6, 
170,170,1, 
170,170,2, 
170,170,3, 
170,170,4, 
170,170,5, 
170,170,6, 
171,171,1, 
171,171,2, 
171,171,3, 
171,171,4, 
171,171,5, 
171,171,6, 
172,172,1,3.75
172,172,2,3.75
172,172,3,3
172,172,4,1.75
172,172,5,2.25
172,172,6,3.25
173,173,1, 
173,173,2, 
173,173,3, 
173,173,4, 
173,173,5, 
173,173,6, 
174,174,1, 
174,174,2, 
174,174,3, 
174,174,4, 
174,174,5, 
174,174,6, 
175,175,1, 
175,175,2, 
175,175,3, 
175,175,4, 
175,175,5, 
175,175,6, 
176,176,1, 
176,176,2, 
176,176,3, 
176,176,4, 
176,176,5, 
176,176,6, 
177,177,1, 
177,177,2, 
177,177,3, 
177,177,4, 
177,177,5, 
177,177,6, 
178,178,1, 
178,178,2, 
178,178,3, 
178,178,4, 
178,178,5, 
178,178,6, 
179,179,1, 
179,179,2, 
179,179,3, 
179,179,4, 
179,179,5, 
179,179,6, 
180,180,1, 
180,180,2, 
180,180,3, 
180,180,4, 
180,180,5, 
180,180,6, 
181,181,1, 
181,181,2, 
181,181,3, 
181,181,4, 
181,181,5, 
181,181,6, 
182,182,1,2.25
182,182,2,1
182,182,3,1.75
182,182,4,1.75
182,182,5, 
182,182,6,3
183,183,1, 
183,183,2, 
183,183,3, 
183,183,4, 
183,183,5, 
183,183,6, 
184,184,1,3.75
184,184,2,3
184,184,3,2.75
184,184,4,3.75
184,184,5,2.75
184,184,6,4
185,185,1,1.375
185,185,2,1
185,185,3,1.875
185,185,4,1
185,185,5,1.25
185,185,6,2.75
186,186,1,3
186,186,2,3.5
186,186,3,3
186,186,4,2.875
186,186,5,3.5
186,186,6, 
