"sccsn","socname","Family","General_TL5_Final","Soc_TL5_Final","Gender_TL5_Final","Mar_TL5_Final","Sex_TL5_Final","FM_TL5_Final","latitude","longitude","Elevation","v84","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v237","v238","v238.1","v238.2","v699","v761","v773","v774","v787","v789","v835","v861","v1253_rec","v1254_rec","v1255_rec","v1256_rec","v1257_rec","v1258_rec","v1259_rec","v1265","v1267","v1720_poppress","Adult.Mobility","Contact.OtherSocieties","extfreq","intfreq","oth","ovfreq","fam","chrs","PatriDescent","MatriDescent","Predom_MultiplePatterns","Predom_A","Predom_M","Predom_P","P_M","Predom_M_12_0","MatrilinealDes_Copy","Predom_P_12_0","Predom_Bilocal","LocalizedKin","subsistence","agriculture","horticulture","huntergatherer","pastoralism","other","pathogensum","pathogendummy","Zpathogensum","Zpathogendummy","v774_rev","v773_rev","Zv773_rev","Zv774_rev","extfreq_rec","Zextfreq_rec","intfreq_rec","Zintfreq_rec","v1265_dum","Zfam","Zchrs","Zv1265_dum","Zv1267","famine_index","Zoth","Zv1720_poppress","v151_2","v153_2","v155_2","complexity","Res_Hetero","mobility","contact2","v761_rev","Zv761","Zv761_rev","Zv238_rec","polygamy","threat_fam","threat_path","id","Domain","TL1","Law","Socialization","Gender","Marriage","Sexuality","Funerals","ZTL1"
4,"Lozi","Atantic-Congo",,,,,,,-16,23.5,1050.433449,1,1,3,5,4,3,1,1,3,5,4,4,2,2,2,,2,3,2,1,1,4,4,0,1,1,1,1,1,1,4,,1,0.904256813,-0.861996448,2.5,3.5,,3.5,,1,0,0,,,,,,,0,,,0,,,,,,,6,1,1.23957032891705,0.463170239634852,3,2,-0.414619578806056,0.00987703097653663,2.5,-0.164688647893145,3.5,0.578432383852833,1,,-0.721473330018279,0.582575265003535,,-0.0694490325073722,,1.75084325162702,4,2,1,0.191640771369361,,0.904256813,0.861996448,3,-0.979511241624492,0.979511241624492,-0.557350770119123,1,0.840697109559826,0.278275927029177,4,3,,0,0,1,0,0,0,
4,"Lozi","Atantic-Congo",,,,,,,-16,23.5,1050.433449,1,1,3,5,4,3,1,1,3,5,4,4,2,2,2,,2,3,2,1,1,4,4,0,1,1,1,1,1,1,4,,1,0.904256813,-0.861996448,2.5,3.5,,3.5,,1,0,0,,,,,,,0,,,0,,,,,,,6,1,1.23957032891705,0.463170239634852,3,2,-0.414619578806056,0.00987703097653663,2.5,-0.164688647893145,3.5,0.578432383852833,1,,-0.721473330018279,0.582575265003535,,-0.0694490325073722,,1.75084325162702,4,2,1,0.191640771369361,,0.904256813,0.861996448,3,-0.979511241624492,0.979511241624492,-0.557350770119123,1,0.840697109559826,0.278275927029177,4,4,,0,0,0,1,0,0,
4,"Lozi","Atantic-Congo",,,,,,,-16,23.5,1050.433449,1,1,3,5,4,3,1,1,3,5,4,4,2,2,2,,2,3,2,1,1,4,4,0,1,1,1,1,1,1,4,,1,0.904256813,-0.861996448,2.5,3.5,,3.5,,1,0,0,,,,,,,0,,,0,,,,,,,6,1,1.23957032891705,0.463170239634852,3,2,-0.414619578806056,0.00987703097653663,2.5,-0.164688647893145,3.5,0.578432383852833,1,,-0.721473330018279,0.582575265003535,,-0.0694490325073722,,1.75084325162702,4,2,1,0.191640771369361,,0.904256813,0.861996448,3,-0.979511241624492,0.979511241624492,-0.557350770119123,1,0.840697109559826,0.278275927029177,4,5,,0,0,0,0,1,0,
4,"Lozi","Atantic-Congo",,,,,,,-16,23.5,1050.433449,1,1,3,5,4,3,1,1,3,5,4,4,2,2,2,,2,3,2,1,1,4,4,0,1,1,1,1,1,1,4,,1,0.904256813,-0.861996448,2.5,3.5,,3.5,,1,0,0,,,,,,,0,,,0,,,,,,,6,1,1.23957032891705,0.463170239634852,3,2,-0.414619578806056,0.00987703097653663,2.5,-0.164688647893145,3.5,0.578432383852833,1,,-0.721473330018279,0.582575265003535,,-0.0694490325073722,,1.75084325162702,4,2,1,0.191640771369361,,0.904256813,0.861996448,3,-0.979511241624492,0.979511241624492,-0.557350770119123,1,0.840697109559826,0.278275927029177,4,6,,0,0,0,0,0,1,
5,"Mbundu","Atantic-Congo",,,,,,,-12,16,1655.28,4,1,5,4,2,4,1,4,3,4,4,3,2,2,2,4,,,,,,3,4,0,1,1,0,1,1,1,4,4,,,,5,2,,5,1,,1,1,,,,,,,1,,,1,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,5,1.33602447492013,2,-0.3470594303117,1,-0.986942637179703,,0.582575265003535,0.790802186649041,0.128811604824291,,,3,2,3,0.216639472816175,,,,,,,-0.557350770119123,1,0.128811604824291,0.77937056608557,5,1,,1,0,0,0,0,0,
5,"Mbundu","Atantic-Congo",,,,,,,-12,16,1655.28,4,1,5,4,2,4,1,4,3,4,4,3,2,2,2,4,,,,,,3,4,0,1,1,0,1,1,1,4,4,,,,5,2,,5,1,,1,1,,,,,,,1,,,1,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,5,1.33602447492013,2,-0.3470594303117,1,-0.986942637179703,,0.582575265003535,0.790802186649041,0.128811604824291,,,3,2,3,0.216639472816175,,,,,,,-0.557350770119123,1,0.128811604824291,0.77937056608557,5,2,,0,1,0,0,0,0,
5,"Mbundu","Atantic-Congo",,,,,,,-12,16,1655.28,4,1,5,4,2,4,1,4,3,4,4,3,2,2,2,4,,,,,,3,4,0,1,1,0,1,1,1,4,4,,,,5,2,,5,1,,1,1,,,,,,,1,,,1,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,5,1.33602447492013,2,-0.3470594303117,1,-0.986942637179703,,0.582575265003535,0.790802186649041,0.128811604824291,,,3,2,3,0.216639472816175,,,,,,,-0.557350770119123,1,0.128811604824291,0.77937056608557,5,3,,0,0,1,0,0,0,
5,"Mbundu","Atantic-Congo",,,,,,,-12,16,1655.28,4,1,5,4,2,4,1,4,3,4,4,3,2,2,2,4,,,,,,3,4,0,1,1,0,1,1,1,4,4,,,,5,2,,5,1,,1,1,,,,,,,1,,,1,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,5,1.33602447492013,2,-0.3470594303117,1,-0.986942637179703,,0.582575265003535,0.790802186649041,0.128811604824291,,,3,2,3,0.216639472816175,,,,,,,-0.557350770119123,1,0.128811604824291,0.77937056608557,5,4,,0,0,0,1,0,0,
5,"Mbundu","Atantic-Congo",,,,,,,-12,16,1655.28,4,1,5,4,2,4,1,4,3,4,4,3,2,2,2,4,,,,,,3,4,0,1,1,0,1,1,1,4,4,,,,5,2,,5,1,,1,1,,,,,,,1,,,1,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,5,1.33602447492013,2,-0.3470594303117,1,-0.986942637179703,,0.582575265003535,0.790802186649041,0.128811604824291,,,3,2,3,0.216639472816175,,,,,,,-0.557350770119123,1,0.128811604824291,0.77937056608557,5,5,,0,0,0,0,1,0,
5,"Mbundu","Atantic-Congo",,,,,,,-12,16,1655.28,4,1,5,4,2,4,1,4,3,4,4,3,2,2,2,4,,,,,,3,4,0,1,1,0,1,1,1,4,4,,,,5,2,,5,1,,1,1,,,,,,,1,,,1,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,5,1.33602447492013,2,-0.3470594303117,1,-0.986942637179703,,0.582575265003535,0.790802186649041,0.128811604824291,,,3,2,3,0.216639472816175,,,,,,,-0.557350770119123,1,0.128811604824291,0.77937056608557,5,6,,0,0,0,0,0,1,
