"sccsn","socname","Family","General_TL5_Final","Soc_TL5_Final","Gender_TL5_Final","Mar_TL5_Final","Sex_TL5_Final","FM_TL5_Final","latitude","longitude","Elevation","v84","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v237","v238","v238.1","v238.2","v699","v761","v773","v774","v787","v789","v835","v861","v1253_rec","v1254_rec","v1255_rec","v1256_rec","v1257_rec","v1258_rec","v1259_rec","v1265","v1267","v1720_poppress","Adult.Mobility","Contact.OtherSocieties","extfreq","intfreq","oth","ovfreq","fam","chrs","PatriDescent","MatriDescent","Predom_MultiplePatterns","Predom_A","Predom_M","Predom_P","P_M","Predom_M_12_0","MatrilinealDes_Copy","Predom_P_12_0","Predom_Bilocal","LocalizedKin","subsistence","agriculture","horticulture","huntergatherer","pastoralism","other","pathogensum","pathogendummy","Zpathogensum","Zpathogendummy","v774_rev","v773_rev","Zv773_rev","Zv774_rev","extfreq_rec","Zextfreq_rec","intfreq_rec","Zintfreq_rec","v1265_dum","Zfam","Zchrs","Zv1265_dum","Zv1267","famine_index","Zoth","Zv1720_poppress","v151_2","v153_2","v155_2","complexity","Res_Hetero","mobility","contact2","v761_rev","Zv761","Zv761_rev","Zv238_rec","polygamy","threat_fam","threat_path"
21,"Wolof","Atantic-Congo",2.375,,2.625,3.75,2.875,3,13.75,-15.33,33.30326518,1,4,5,4,2,5,2,3,5,4,5,3,4,4,4,4,,,,,,3,4,1,0,1,1,1,1,1,4,,1,,,1,1,3,1,2,3,1,1,1,0,0,1,,0,1,1,0,1,"Horticulturalists",0,1,0,0,0,6,1,1.23957032891705,0.463170239634852,,,,,1,-1.06511652158111,1,-0.964053973088056,1,0.0214552747212978,1.70179587004312,0.582575265003535,,0.768608803255983,0.296238340097478,1.75084325162702,3,3,2,0.768068483791707,0,,,,,,1.78352246438119,1,0.938563464993495,1.23957032891705
22,"Bambara","Mande",3,4,3.75,3.25,2.25,4,12.5,-7,325.3083142,1,3,5,5,4,5,3,3,3,3,4,2,1,1,1,,2,,2,1,2,2,4,1,1,1,1,1,1,1,4,,0,-0.327403329,-0.861996448,8,8,3,3,,,1,0,0,0,0,2,1,0,0,1,0,1,"Pastoralists",0,0,0,1,0,7,1,1.69977009174853,0.463170239634852,3,,,0.00987703097653663,,,,,1,,,0.582575265003535,,0.582575265003535,0.296238340097478,-0.563830877642601,4,3,2,0.712897572499722,0,-0.327403329,0.861996448,3,-0.979511241624492,0.979511241624492,-0.557350770119123,1,0.104994242486137,0.854823561362532
23,"Tallensi","Atantic-Congo",3.25,3,2.75,3.25,3.25,3.75,10.66,-0.57,206.4969174,1,1,5,5,4,4,1,3,5,2,2,1,1,1,1,2,2,2,1,2,1,1,4,1,1,1,1,1,1,1,4,4,0,-0.327403329,0.477176605,1,1,4,1,2,2,1,0,1,0,0,1,2,0,0,1,0,1,"Intensive Agriculture",1,0,0,0,0,7,1,1.69977009174853,0.463170239634852,4,3,0.3515252950747,0.809916540076,1,-1.06511652158111,1,-0.964053973088056,1,0.0214552747212978,0.490161270012419,0.582575265003535,0.790802186649041,0.471248499096573,1.15628513392886,-0.563830877642601,4,2,2,0.15355587644548,0,-0.327403329,-0.477176605,3,-0.979511241624492,0.979511241624492,-0.557350770119123,1,0.354567585127612,0.95373730896641
24,"Songhai","Songhay",3.75,3.25,3.25,3.75,,,16.58,-1.67,276.2189125,1,4,5,5,4,4,2,1,3,3,5,4,4,4,4,,,,,,,4,3,1,0,1,1,1,1,1,,,,,,2,1,2,2,,,1,0,1,0,0,1,2,0,0,1,0,0,"Pastoralists",0,0,0,1,0,6,1,1.23957032891705,0.463170239634852,,,,,2,-0.464831272455799,1,-0.964053973088056,,,,,,,-0.563808453733909,,4,2,1,0.508782547940074,0,,,,,,1.78352246438119,1,-0.563808453733909,1.23957032891705
25,"Pastoral Fulani","Atantic-Congo",3,3.25,2.75,3.75,2.75,,15,7.5,442.0664407,1,1,1,2,2,1,2,1,2,3,1,2,4,4,4,2,,,,,,2,4,0,0,1,1,1,1,0,4,4,0,,,1,2.5,3,2.5,3,2,1,0,0,0,0,2,1,0,0,1,0,0,"Pastoralists",0,0,0,1,0,4,1,0.31917080325409,0.463170239634852,,,,,1,-1.06511652158111,2.5,-0.0385621589235222,1,1.0298531866223,0.490161270012419,0.582575265003535,0.790802186649041,0.723347977071823,0.296238340097478,-0.563830877642601,2,1,1,-0.793110571675839,0,,,,,,1.78352246438119,1,0.151918479842233,0.31917080325409
26,"Hausa","Afro-Asiatic",3.875,,3.875,3.375,3.625,,10.5,7.5,656.931444,4,5,5,5,5,4,2,3,4,5,5,4,4,4,4,,2,2,1,1,1,4,4,1,1,1,1,1,1,1,4,3,0,-0.327403329,-0.861996448,4.5,4.5,4,4.5,4,2,1,0,0,0,0,2,1,0,0,1,0,1,"Intensive Agriculture",1,0,0,0,0,7,1,1.69977009174853,0.463170239634852,4,3,0.3515252950747,0.809916540076,4.5,1.03588185035747,4.5,1.19542692662919,1,2.0382510985233,0.490161270012419,0.582575265003535,-0.174712111003858,0.734068880633849,1.15628513392886,-0.563830877642601,4,2,2,0.977091522099539,0,-0.327403329,0.861996448,3,-0.979511241624492,0.979511241624492,1.78352246438119,1,0.442174378973371,0.95373730896641
27,"Massa (Masa)","Afro-Asiatic",,,,,,,10.5,15.5,331.5446465,3,1,5,5,3,4,1,1,4,2,1,1,2,2,2,3,,,,,,1,4,1,1,1,1,1,1,1,4,4,,,,5,8,2,5,3,1,1,0,0,0,0,2,1,0,0,1,0,1,,,,,,,7,1,1.69977009174853,0.463170239634852,,,,,5,1.33602447492013,,,1,1.0298531866223,-0.721473330018279,0.582575265003535,0.790802186649041,0.420439327064149,-0.563808453733909,,4,2,1,-0.145826992127303,0,,,,,,-0.557350770119123,1,-0.0716845633348799,1.69977009174853
28,"Azande","Atantic-Congo",,,,,,,5,27,615.45,1,2,5,4,2,4,1,4,2,4,3,3,3,3,3,,2,1,1,1,1,3,4,1,1,1,1,1,1,1,4,,0,-0.327403329,-0.861996448,5,5,,5,,,1,0,,,,,,,0,,,0,,,,,,,7,1,1.69977009174853,0.463170239634852,4,4,1.11767016895546,0.809916540076,5,1.33602447492013,5,1.50392419801737,1,,,0.582575265003535,,0.582575265003535,,-0.563830877642601,3,2,3,0.152213993459966,,-0.327403329,0.861996448,3,-0.979511241624492,0.979511241624492,-0.557350770119123,1,0.0093721936804671,1.20911893359333
29,"Fur (Darfur)","Furan",3.25,4,3.25,3.75,2,2.25,13.5,25.5,675.3965036,1,5,5,5,2,5,2,2,3,5,3,4,4,4,4,4,,,,,,4,3,0,0,0,1,1,1,1,4,3,0,,,4.5,8,2,4.5,2,1,0,1,0,0,0,0,,0,1,0,0,0,"Intensive Agriculture",1,0,0,0,0,4,1,0.31917080325409,0.463170239634852,,,,,4.5,1.03588185035747,,,1,0.0214552747212978,-0.721473330018279,0.582575265003535,-0.174712111003858,-0.073038725324326,-0.563808453733909,-0.563830877642601,4,3,2,0.72195549457798,0,,,,,,1.78352246438119,1,-0.400226018900278,0.31917080325409
30,"Otoro Nuba","Heibanic",3,3.75,2.75,3.75,2.25,,11.33,30.67,671.8419844,3,2,5,5,4,4,1,1,3,1,2,2,,,,,3,1,1,1,3,2,4,1,1,1,1,1,1,1,4,3,,0.904256813,-0.861996448,5,4,4,5,4,4,1,0,1,0,0,1,2,0,0,1,0,1,"Intensive Agriculture",1,0,0,0,0,7,1,1.69977009174853,0.463170239634852,4,4,1.11767016895546,0.809916540076,5,1.33602447492013,4,0.886929655241011,1,2.0382510985233,2.91343047007381,0.582575265003535,-0.174712111003858,1.3398861806492,1.15628513392886,,4,2,1,-0.0865476946959246,0,0.904256813,0.861996448,2,0.206938994709399,-0.206938994709399,,1,1.24808565728903,1.20911893359333
31,"Shilluk","Nilotic",,,,,,,9.75,31.5,399.8861555,1,1,5,4,4,4,1,1,4,3,5,2,2,2,2,4,1,1,2,1,1,2,4,1,0,1,1,1,0,1,4,4,0,-1.559063471,-0.861996448,3,3.5,,3.5,,1,1,0,,,,,,,0,,,1,,,,,,,5,1,0.77937056608557,0.463170239634852,3,4,1.11767016895546,0.00987703097653663,3,0.13545397666951,3.5,0.578432383852833,1,,-0.721473330018279,0.582575265003535,0.790802186649041,0.217301373878099,,-0.563830877642601,3,2,1,0.217350306311502,,-1.559063471,0.861996448,4,-2.16596147795838,2.16596147795838,-0.557350770119123,1,-0.173264751882251,0.635639255339187
32,"Mao","Blue Nile Mao",2.75,3,2,3,3,4,9.27,34.67,1504.964254,1,1,5,4,1,4,1,3,3,2,1,2,2,2,2,,,,,,,2,,1,0,1,1,1,1,1,,,,,,0,0,2,0,,1,1,0,0,0,0,2,1,0,0,1,0,1,"Horticulturalists",0,1,0,0,0,6,1,1.23957032891705,0.463170239634852,,,,,,,,,,,-0.721473330018279,,,-0.721473330018279,-0.563808453733909,,3,2,2,-0.324314360920128,0,,,,,,-0.557350770119123,,-0.642640891876094,1.23957032891705
33,"Kaffa (Kafa)","Ta-Ne-Omotic",,,,,,,7.27,36.5,1807.381104,4,2,5,5,1,5,2,2,4,5,4,5,2,2,2,4,,,,,,4,4,1,0,1,1,1,1,1,3,,,,,3.5,8,,3.5,,,1,0,,,,,,,0,,,,,,,,,,6,1,1.23957032891705,0.463170239634852,,,,,3.5,0.435596601232164,,,1,,,0.582575265003535,,0.582575265003535,,,4,3,2,0.578499307656624,,,,,,,-0.557350770119123,1,0.582575265003535,1.23957032891705
34,"Masai","Nilotic",3.25,2.5,3.875,3.125,2.875,2.625,-3.5,36.75,1202.091964,1,1,1,1,3,4,2,2,2,2,1,2,,,,,3,1,1,1,3,2,4,0,1,1,1,1,1,0,4,4,,-0.327403329,-0.861996448,5,4,4,5,3,,1,0,1,0,0,1,2,0,0,1,0,0,"Pastoralists",0,0,0,1,0,5,1,0.77937056608557,0.463170239634852,4,4,1.11767016895546,0.809916540076,5,1.33602447492013,4,0.886929655241011,1,1.0298531866223,,0.582575265003535,0.790802186649041,0.801076879424958,1.15628513392886,,1,2,2,-0.616687636127268,0,-0.327403329,0.861996448,2,0.206938994709399,-0.206938994709399,,1,0.978681006676911,0.902319091705675
35,"Konso","Afro-Asiatic",3.25,,,,,,5.25,37.5,1395.608574,3,1,5,5,5,5,2,1,5,3,2,1,2,2,2,3,,,,,,2,3,0,0,1,1,1,0,0,4,4,,,,8,0,,8,2,1,1,0,1,0,0,1,2,0,0,1,0,1,"Intensive Agriculture",1,0,0,0,0,3,1,-0.141028959577389,0.463170239634852,,,,,,,,,1,0.0214552747212978,-0.721473330018279,0.582575265003535,0.790802186649041,0.168339849088899,,,4,3,1,0.459843100710631,0,,,,,,-0.557350770119123,1,0.168339849088899,-0.141028959577389
36,"Somali","Afro-Asiatic",3.25,,4,3,,3.25,8,48,563.87,2,4,1,2,4,4,2,3,3,3,2,3,4,4,4,,4,1,1,1,1,3,4,0,0,1,1,1,1,1,4,3,1,0.904256813,-0.861996448,4.75,5,2,4.75,2,,1,0,0,0,0,2,1,0,0,1,0,1,"Pastoralists",0,0,0,1,0,5,1,0.77937056608557,0.463170239634852,4,4,1.11767016895546,0.809916540076,4.75,1.1859531626388,5,1.50392419801737,1,0.0214552747212978,,0.582575265003535,-0.174712111003858,0.143106142906992,-0.563808453733909,1.75084325162702,2,2,2,-0.0571816658086889,0,0.904256813,0.861996448,1,1.39338923104329,-1.39338923104329,1.78352246438119,1,0.443380313600036,0.902319091705675
37,"Amhara","Afro-Asiatic",3.125,3.875,3.5,2.625,3.125,3.75,12.5,37.75,2034.185912,5,5,5,5,3,5,2,3,4,5,5,4,4,4,4,4,2,2,1,1,1,4,1,0,0,1,0,1,1,1,4,4,0,-1.559063471,-0.861996448,5,8,1,5,2,1,0,0,1,0,0,1,2,0,0,1,0,0,"Intensive Agriculture",1,0,0,0,0,4,1,0.31917080325409,0.463170239634852,4,3,0.3515252950747,0.809916540076,5,1.33602447492013,,,1,0.0214552747212978,-0.721473330018279,0.582575265003535,0.790802186649041,0.168339849088899,-1.4238552475653,-0.563830877642601,4,3,2,0.994453415747328,0,-1.559063471,0.861996448,3,-0.979511241624492,0.979511241624492,1.78352246438119,0,-0.606448758706332,0.49353754613493
